TIMESTAMP	DEVICE_ID	DEVICE_TYPE	ROOM_NAME	EVENT_TYPE	DESCRIPTION
2025-05-24 15:13:16	10f7798b-b3e5-498e-a2d7-77abf199d367	LIGHTBULB	Kitchen	DEVICE_ADDED	Device 'Kitchen' added to room 'Kitchen'
2025-05-24 15:13:21	58863019-5eb0-4ac1-8963-37c54fd70755	OUTLET	Kitchen	DEVICE_ADDED	Device 'Outlet' added to room 'Kitchen'
